text1,text2
"中暑指数='2级，一般不会中暑'&感冒指数='2级，感冒少发'&人体舒适度='1级，暖和，较舒适'&夜晨舒适度='0级，舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='2级，着衬衫、短套装 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='3级，中度危险,能燃烧'&明天市区温度='24到30'&明天永春温度='22到32'&明天沿海天气='阴'&明天山区天气='多云'&明天风='东北风5～6级阵风7～8级'&后天市区温度='26到33'&后天永春温度='24到33'&后天沿海天气='阴转多云'&后天山区天气='阴转多云'&后天风='东北风6～7级阵风8～9级'&大后天市区温度='25到33'&大后天永春温度='23到33'&大后天沿海天气='多云'&大后天山区天气='多云'&大后天风='东北风5～6级阵风7级'",今天副热带高压继续加强西伸，我市以晴到多云天气为主，太阳公公早早就出来和大家见面了，全市气温开始逐步回升，午后我市大部最高气温在32左右，同时沿海风力相比昨天有所减弱。预计明后两天我市仍受副热带高压稳定控制，以多云到晴的天气为主，山区局部有阵雨。台风“奥鹿”继续向西移动，受冷空气和台风外围环流共同影响，未来三天我市沿海风力较大，阵风最大可达8～9级，请大家防范沿海大风对航运、滨海旅游和近海养殖等行业的不利影响。天气燥热，请注意多补充水分，外出时避免暴晒，做好防暑防晒措施。同时近期风干物燥，森林火险气象等级较高，需注意野外用火安全
"中暑指数='2级，一般不会中暑'&感冒指数='2级，感冒少发'&人体舒适度='-1级，凉、较舒适'&夜晨舒适度='-2级，冷，不舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='4级，穿套装、夹克类 '&郊游指数='3级，天气还可以,出来玩玩吧'&森林火险='3级，中度危险,能燃烧'&明天市区温度='14到21'&明天永春温度='15到22'&明天沿海天气='小雨转晴'&明天山区天气='小雨转多云'&明天风='东北风5～6级阵风7～8级'&后天市区温度='15到21'&后天永春温度='14到22'&后天沿海天气='晴转阴'&后天山区天气='晴转多云'&后天风='东北风5～6级阵风7～8级'&大后天市区温度='17到26'&大后天永春温度='17到27'&大后天沿海天气='阴转多云'&大后天山区天气='阴转多云'&大后天风='东北风5～6级阵风7～8级'",今天的天空依旧是灰蒙蒙的，由于我市仍然受水汽输送的主力军也就是西南气流所控制，整体的湿度仍然较大，云层也较厚。截至今日午时，我市的最高气温在22-24℃之间，山区个别乡镇出现了小雨，体感清凉。预计今天夜间开始我市将逐渐转为偏东气流，配合地面弱冷空气渗透影响，今天夜间我市大部地区将出现小雨。明后两天的最高气温将下滑至22-23℃左右，沿海将出现7-8级的大风。预计未来三天沿海大风将持续，请航运、滨海旅游和近海养殖等行业的相关人员注意防范。最后还要提醒各位观众朋友们及时关注天气预报，近日雨天较多，出行需携带好雨具，注意交通安全。
"中暑指数='2级，一般不会中暑'&感冒指数='2级，感冒少发'&人体舒适度='0级，舒适'&夜晨舒适度='0级，舒适'&紫外线强度指数='2级，弱,不需防护'&穿衣指数 ='3级，穿薄衫裤类 '&郊游指数='3级，天气还可以,出来玩玩吧'&森林火险='2级，低度危险,难燃烧,难蔓延'&明天市区温度='19到24'&明天永春温度='20到24'&明天沿海天气='阴'&明天山区天气='阴转小雨'&明天风='东北风4～5级阵风6～7级'&后天市区温度='19到23'&后天永春温度='18到25'&后天沿海天气='阴'&后天山区天气='阴'&后天风='东北风4～5级阵风6～7级'&大后天市区温度='18到25'&大后天永春温度='18到27'&大后天沿海天气='阴转小雨'&大后天山区天气='阴转小雨'&大后天风='东北风3～4级阵风5～6级'",今天是春季的最后一个节气“谷雨”，春光晓，山黛色，一转眼春天就要离去，天气渐暖，夏天踏步而来。早晨我市上空云系较多，天空阴沉沉的，浓厚的云层阻挡了阳光的发力，加以习习微风，给人带来了阵阵凉意，同时午后部分乡镇受到阵雨侵扰，气温上升动力不足，最高气温山区在26，沿海在20。预计明后两天我市以多云到阴天气为主，云层依旧深厚，山区部分乡镇有阵雨或雷阵雨。气温方面，受云层遮挡，最高气温上“2”统治了我市大部分地区，夜晨最低气温在16。在这里提醒各位市民朋友们，暮春时节天气变化较快，忽冷忽热最易诱发感冒，大家还是要及时添衣保暖。
"中暑指数='2级，一般不会中暑'&感冒指数='2级，感冒少发'&人体舒适度='0级，舒适'&夜晨舒适度='0级，舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='3级，穿薄衫裤类 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='3级，中度危险,能燃烧'&明天市区温度='19到25'&明天永春温度='18到25'&明天沿海天气='多云转阴'&明天山区天气='多云转小雨'&明天风='东北风4～5级阵风6级'&后天市区温度='20到27'&后天永春温度='19到28'&后天沿海天气='小雨转阴'&后天山区天气='小雨'&后天风='东北风4～5级阵风6级'&大后天市区温度='21到26'&大后天永春温度='20到27'&大后天沿海天气='小雨'&大后天山区天气='小雨'&大后天风='东北风4～5级阵风6级'",云淡风轻的好天气继续光临我市，阳光明媚，午后最高气温沿海26、山区28，其中以南安水头镇为全市最高气温；夜晨最低气温17，沿海风力4-5级。预计未来明后两天我市天气较为平稳，以多云天气为主，山区午后局部有阵雨，出行注意携带晴雨伞，遮阳避雨两不误，在立夏时节里开一朵美丽的伞花；白天最高气温在左右，最低气温在18上下，高温不热，低温不冷，是很多人都喜欢的天气，同时也是比较适合出门踏青游玩得好天气；沿海东北阵风5-6级左右，非常适合放风筝哦。总体来说阳光明媚，紫外线的威力也不小，防晒工作需做好，中午前后不要暴晒，多喝水补充水分。
"中暑指数='1级，不会中暑'&感冒指数='3级，感冒易发,适当保护'&人体舒适度='-1级，凉、较舒适'&夜晨舒适度='-2级，冷，不舒适'&紫外线强度指数='2级，弱,不需防护'&穿衣指数 ='5级，穿毛衣类 '&郊游指数='2级，天气不太好,出游要有所防备'&森林火险='3级，中度危险,能燃烧'&明天市区温度='11到16'&明天永春温度='12到19'&明天沿海天气='阴'&明天山区天气='阴'&明天风='东北风7～8级阵风9～10级'&后天市区温度='9到15'&后天永春温度='7到16'&后天沿海天气='多云'&后天山区天气='晴'&后天风='东北风8～9级阵风10级'&大后天市区温度='8到18'&大后天永春温度='6到19'&大后天沿海天气='阴'&大后天山区天气='多云转阴'&大后天风='东北风6～7级阵风8～9级'",今日迎来了兔年的第二个节气：雨水。雨水节气前后通常天气渐暖、降水渐多，万物开始萌动，带来春日繁茂的生机。今天又是天气晴好的一天，上午在阳光的照耀下气温快速回升至以上，午间冷空气前沿率先从沿海南下抵达我市，在冷空气的影响下气温开始走下坡路，大风也不甘示弱，从午后开始，沿海便吹起了8级大风，预计今天至21日我市沿海风力将持续较大，明后两天我市沿海阵风还将达到10级，22日起风力逐渐减弱，大风影响时段还请市民朋友们尽量不要去海边游玩，还要注意防范沿海大风对航运、渔业等行业的不利影响。另外近期气温起伏大，夜晨气温较低，观众朋友们要注意及时调整衣物，谨防感冒。
"中暑指数='3级，可能中暑'&感冒指数='2级，感冒少发'&人体舒适度='1级，暖和，较舒适'&夜晨舒适度='0级，舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='2级，着衬衫、短套装 '&郊游指数='2级，天气不太好,出游要有所防备'&森林火险='3级，中度危险,能燃烧'&明天市区温度='27到32'&明天永春温度='25到31'&明天沿海天气='多云转阵雨'&明天山区天气='阴转阵雨'&明天风='西南风5～6级阵风7～8级'&后天市区温度='26到30'&后天永春温度='25到30'&后天沿海天气='多云转阵雨'&后天山区天气='阴转中雨'&后天风='西南风5～6级阵风7～8级'&大后天市区温度='26到31'&大后天永春温度='26到31'&大后天沿海天气='多云转小雨'&大后天山区天气='阴转小雨'&大后天风='西南风5～6级阵风7～8级'","今天是中考的最后一天,我市受高空一致西南气流影响,今天早晨的天气较为舒适凉爽，白云遮蔽着天空，抑制了气温的上升，使得上午的温度较为舒适，给紧张赴考的考生们提供了较好的环境。午后，随着云层逐渐浅薄，太阳开始释放威力,气温随之飙升,大部分乡镇的最高气温达到31。山区局部乡镇出现了雷阵雨天气，给考生们的出行带来了些许不便。预计明天，全市以多云天气为主，山区有阵雨，局部中雨，气温上相较于今天则会略有下降。近期山区多阵雨或雷阵雨天气，请大家出行记得携带雨伞，并多多关注天气预报。此外午后气温较高，提醒市民朋友们尽量避免正午前后进行阳光暴晒下的户外活动，并做好补水防晒等措施。"
"中暑指数='3级，可能中暑'&感冒指数='2级，感冒少发'&人体舒适度='2级，稍热,不舒适'&夜晨舒适度='1级，暖和，较舒适'&紫外线强度指数='4级，强,避免曝晒'&穿衣指数 ='2级，着衬衫、短套装 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='3级，中度危险,能燃烧'&明天市区温度='26到34'&明天永春温度='24到34'&明天沿海天气='多云'&明天山区天气='晴转小雨'&明天风='东北风4～5级阵风6级'&后天市区温度='26到34'&后天永春温度='24到34'&后天沿海天气='阴转晴'&后天山区天气='阴'&后天风='偏东风4～5级'&大后天市区温度='25到34'&大后天永春温度='24到35'&大后天沿海天气='晴'&大后天山区天气='多云转晴'&大后天风='偏东风4～5级'",今天是开学的第一天，神兽回巢，喜大普奔！太阳似乎很解人意，一大早便早早地便把金辉洒向大地，为投入新学期的莘莘学子加油打气。在副高的强势控制之下，晴热高温仍是我市天气舞台的主角。气温方面，我市午后部分乡镇气温超过35℃，其中个别乡镇最高气温超过37℃，以南安五星中学37.5℃为全市最高。预计明后两天，我市仍在强大的副高控制之下，以多云到晴的天气为主，气温居高不下，大部分乡镇午后最高气温可达35℃，全市有分散性阵雨或雷阵雨，要注意防范对流天气可能带来的不利影响。在此提醒市民朋友们，近期紫外线指数较高，大家外出要做好防晒措施，同时也要注意补水哦。
"中暑指数='2级，一般不会中暑'&感冒指数='3级，感冒易发,适当保护'&人体舒适度='0级，舒适'&夜晨舒适度='1级，暖和，较舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='3级，穿薄衫裤类 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='2级，低度危险,难燃烧,难蔓延'&明天市区温度='19到30'&明天永春温度='18到33'&明天沿海天气='多云'&明天山区天气='多云'&明天风='西南风3～4级'&后天市区温度='20到28'&后天永春温度='19到31'&后天沿海天气='多云'&后天山区天气='多云'&后天风='东北风3～4级'&大后天市区温度='21到25'&大后天永春温度='20到25'&大后天沿海天气='阴转小雨'&大后天山区天气='小雨'&大后天风='东北风4～5级阵风6级'",四月已经接近尾声，今日我市低层受弱的偏西气流影响，湿度较小，没有了云层的遮挡，太阳不留余力的发挥自己的力量，一大早便感觉有些许闷热。随后气温一路高歌，午后的最高温度在29之间，其中安溪与永春的部分乡镇超过了。预计今天夜间到明天白天，我市将以多云到晴的好天气为主，最低气温将略有下降，不过最高气温仍会维持以上；后天以多云天气为主，天气不错适合游玩，由于近期午后的最高气温较高，请大家注意防暑降温，及时补充水分。马上就迎来五一小长假了，在此提醒大家自5月3号开始我市将会有一次降水过程，有旅游计划的朋友们请关注天气变化，合理安排出行。
"中暑指数='2级，一般不会中暑'&感冒指数='3级，感冒易发,适当保护'&人体舒适度='1级，暖和，较舒适'&夜晨舒适度='0级，舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='3级，穿薄衫裤类 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='3级，中度危险,能燃烧'&明天市区温度='24到32'&明天永春温度='21到33'&明天沿海天气='晴转多云'&明天山区天气='晴转多云'&明天风='东北风5～6级阵风7～8级'&后天市区温度='24到33'&后天永春温度='22到34'&后天沿海天气='晴转多云'&后天山区天气='晴转多云'&后天风='东北风5～6级阵风7～8级'&大后天市区温度='24到32'&大后天永春温度='22到33'&大后天沿海天气='晴'&大后天山区天气='多云转晴'&大后天风='东北风6～7级阵风8～9级'",在偏北气流控制下，全市天气以多云为主，早晨气温还是相当凉爽舒适的，到了午后全市大部分乡镇最高温度在28-32℃，其中以南安码头镇34.1℃为全市最高。预计明后两天，我市依然是多云天气为主。今晚沿海大风将继续“喧嚣”，最大可达8级东北大风，在海边游玩的朋友请关注大风对航运、滨海旅游和渔业的不利影响。近期降水偏少，风干物燥，森林火险气象等级较高，要格外注意野外用火安全。最近秋天的氛围渐渐浓郁，冷空气活动频频现身打搅，大家要加强锻炼身体，增强免疫力，早晚添衣保暖，小心着凉感冒。同时，秋天的空气湿度总体较小，请多补充水分防止秋燥。
"中暑指数='3级，可能中暑'&感冒指数='2级，感冒少发'&人体舒适度='2级，稍热,不舒适'&夜晨舒适度='1级，暖和，较舒适'&紫外线强度指数='4级，强,避免曝晒'&穿衣指数 ='1级，穿盛夏短装 '&郊游指数='3级，天气还可以,出来玩玩吧'&森林火险='3级，中度危险,能燃烧'&明天市区温度='26到34'&明天永春温度='25到35'&明天沿海天气='多云'&明天山区天气='多云'&明天风='西南风4～5级阵风6～7级'&后天市区温度='27到34'&后天永春温度='26到36'&后天沿海天气='多云'&后天山区天气='阴转多云'&后天风='西南风5～6级阵风7级'&大后天市区温度='27到34'&大后天永春温度='26到36'&大后天沿海天气='晴转多云'&大后天山区天气='多云'&大后天风='西南风5～6级阵风7级'",今天是我国的传统节日“端午节”，太阳丝毫没有放假的趋势，把大地烤的滚烫滚烫，就连空气也是热烘烘的，人一动就浑身冒汗，中午前后，我市大部分乡镇的最高气温超过，局部乡超过近，其中安溪金谷镇再次突破，连续两天夺得“全市最高温乡镇”的桂冠。预计明天开始，我市主要以沿海多云，山区午后会有短时阵雨或雷雨的天气，最高气温与今天相比仍有小幅度的提升。近期高温天气逐渐在我市蔓延，人的体感温度较高且紫外线过强，因此降温防晒是需要关注的重点，提醒观众朋友们尽量避免正午前后进行阳光暴晒下的户外活动，如有外出请做好补水防晒等措施，以防中暑。
"中暑指数='3级，可能中暑'&感冒指数='2级，感冒少发'&人体舒适度='3级，炎热,很不舒适'&夜晨舒适度='1级，暖和，较舒适'&紫外线强度指数='3级，中等,需遮阳与涂防晒霜'&穿衣指数 ='1级，穿盛夏短装 '&郊游指数='4级，天气不错,大自然欢迎您'&森林火险='3级，中度危险,能燃烧'&明天市区温度='26到34'&明天永春温度='24到35'&明天沿海天气='多云转小雨'&明天山区天气='多云转小雨'&明天风='东北风4级左右'&后天市区温度='26到34'&后天永春温度='25到34'&后天沿海天气='多云转晴'&后天山区天气='小雨'&后天风='北风4级左右'&大后天市区温度='26到33'&大后天永春温度='25到33'&大后天沿海天气='多云'&大后天山区天气='多云转小雨'&大后天风='西北风3～4级'",近期副热带高压如同“金钟罩”一般牢牢“罩住”我市，在其强势控制之下，晴热高温仍是我市天气舞台的主角。午后我市大部分地区最高气温轻轻松松越过，其中南安、安溪、泉港、永春局部乡镇最高气温超过；截至15时，以南安五星中学为全市最高气温。预计明后两天，我市以多云天气为主，白天气温较高，部分乡镇最高气温仍将超过，山区部分地区午后将出现阵雨或者雷阵雨天气。在此提醒各位市民朋友们，及时关注天气变化，注意防范局地强对流天气对农业生产和户外活动的不利影响。暑气仍未消散，请大家及时补充水分，继续做好防暑降温的工作，出门在外防晒措施不能少！
"中暑指数='4级，容易中暑'&感冒指数='2级，感冒少发'&人体舒适度='3级，炎热,很不舒适'&夜晨舒适度='2级，稍热,不舒适'&紫外线强度指数='5级，最强,避免外出'&穿衣指数 ='1级，穿盛夏短装 '&郊游指数='3级，天气还可以,出来玩玩吧'&森林火险='3级，中度危险,能燃烧'&明天市区温度='26到35'&明天永春温度='26到37'&明天沿海天气='多云'&明天山区天气='多云转阴'&明天风='西南风5～6级阵风7级'&后天市区温度='26到35'&后天永春温度='26到38'&后天沿海天气='多云转晴'&后天山区天气='多云转晴'&后天风='西南风4～5级阵风6～7级'&大后天市区温度='27到36'&大后天永春温度='26到37'&大后天沿海天气='晴转多云'&大后天山区天气='多云转阴'&大后天风='西南风4～5级阵风6～7级'",今天迎来了小暑节气，俗话说“小暑过，一日热三分”，迎来盛夏时节，持续的高温使得炎热感更加明显。今天我市天气晴好，气温从早上开始就稳步上升，午后我市大部分乡镇的最高气温都在34-37℃，永春、安溪、南安的局部乡镇达到了38℃以上，紫外线较强。预计未来三天的天气剧场依旧在副热带高压的掌控之下，晴热高温天气将维持，大部县市的日最高气温可达35℃以上，部分县市37～38℃。提醒大家关注高温对电力供应、水资源配置、人体健康和农业生产等不利影响，特别是户外或者高温高湿条件下的作业人员尽量避免高温时间作业，缩短连续工作时间，并采取必要的防护措施。
